"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2025";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"154048 - FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229901 - OUTRAS RESTITUICOES-PRINCIPAL";"10.011,00";"35.966,17";"359,27%";"0,00";
"2025";"26000 - Ministério da Educação";"26440 - Universidade Federal da Fronteira Sul";"158517 - UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";"1 - Receitas Correntes";"17 - Transferências Correntes";"172 - Transferências dos Estados e do Distrito Federal e de suas Entidades";"17240101 - TRANSF.REC.ORG.UNIAO CONV.EST/DF/ENT.-PRINC.";"1.473.300,00";"935.396,00";"63,49%";"0,00";
"2025";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"154359 - FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.";"0,00";"7.086,62";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26258 - Universidade Tecnológica Federal do Paraná";"153019 - UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"286.741,81";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26252 - Universidade Federal de Campina Grande";"158195 - UNIVERSIDADE FEDERAL DE CAMPINA GRANDE";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110102 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-MUL.JUR.";"0,00";"80,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"158122 - INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110201 - CONC/PERM/AUT/CESSAO DIR.USO IMOV.PUB-PRINC.";"16.510,00";"4.515,95";"27,35%";"0,00";
"2025";"26000 - Ministério da Educação";"26245 - Universidade Federal do Rio de Janeiro";"153115 - UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"158129 - INST FED DE EDUC CIENC E TECNOLOGIA BAIANO";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110112 - ALUGUEIS E ARRENDAMENTOS-MULTAS E JUROS";"0,00";"227,50";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26239 - Universidade Federal do Pará";"153063 - UNIVERSIDADE FEDERAL DO PARA";"7 - Receitas Correntes - intra-orçamentárias";"76 - Receita de Serviços";"761 - Serviços Administrativos e Comerciais Gerais";"76110101 - SERV.ADMIN.E COMERCIAIS GERAIS-PRINC.-INTRA";"2.393.269,00";"1.468.898,20";"61,38%";"0,00";
"2025";"26000 - Ministério da Educação";"26246 - Universidade Federal de Santa Catarina";"153163 - UNIVERSIDADE FEDERAL DE SANTA CATARINA";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110102 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-MUL.JUR.";"0,00";"285,18";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"154039 - FUNDACAO UNIVERSIDADE DO AMAZONAS";"1 - Receitas Correntes";"17 - Transferências Correntes";"174 - Transferências de Instituições Privadas";"17410101 - TRANSF.REC.ORG.UNIAO CONV.INSTIT.PRIV.-PRINC.";"72.400,00";"0,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26433 - Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro";"158157 - INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110202 - INSCR.EM CONCURSOS E PROC.SELETIVOS-MUL.JUR.";"0,00";"180,01";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"154043 - FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229901 - OUTRAS RESTITUICOES-PRINCIPAL";"464.424,00";"0,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"154421 - FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210101 - INDENIZ.P/DANOS CAUSADOS AO PATR.PUB.-PRINC.";"0,00";"870,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense";"158139 - INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.";"0,00";"2.025,50";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26263 - Universidade Federal de Lavras";"153032 - UNIVERSIDADE FEDERAL DE LAVRAS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19999922 - OUTRAS REC.N.ARREC.N.PROJ.RFB-PRIM.-MUL.JUR.";"38.160,00";"0,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"154044 - FUNDACAO UNIVERSIDADE FEDERAL DO ACRE";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"11,42";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"154032 - FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110102 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-MUL.JUR.";"0,00";"1,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"155007 - EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"29.952.111,26";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"154043 - FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"1 - Receitas Correntes";"17 - Transferências Correntes";"173 - Transferências dos Municípios e de suas Entidades";"17320101 - TRANSF.REC.ORG.UNIAO CONV.MUN./ENTID.-PRINC.";"7.836.800,00";"5.045.284,61";"64,38%";"0,00";
"2025";"26000 - Ministério da Educação";"26237 - Universidade Federal de Juiz de Fora";"153061 - UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229901 - OUTRAS RESTITUICOES-PRINCIPAL";"0,00";"46.413,43";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"158125 - INSTITUTO FEDERAL CATARINENSE - REITORIA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210301 - INDENIZACAO POR SINISTRO-PRINCIPAL";"0,00";"40.344,67";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26455 - Universidade Federal do Delta do Parnaíba";"156680 - UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL";"0,00";"10.942,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26406 - Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo";"158151 - INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110201 - INSCR.EM CONCURSOS E PROC.SELETIVOS-PRINCIPAL";"0,00";"24.040,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"154045 - FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229902 - OUTRAS RESTITUICOES-MULTAS E JUROS";"0,00";"1.803,72";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"155001 - HOSPITAL DE CLINICAS DE PORTO ALEGRE";"1 - Receitas Correntes";"16 - Receita de Serviços";"169 - Outros serviços";"16999901 - OUTROS SERVICOS-PRINCIPAL";"0,00";"355.511,26";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"154050 - FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210101 - INDENIZ.P/DANOS CAUSADOS AO PATR.PUB.-PRINC.";"0,00";"22,43";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26248 - Universidade Federal Rural de Pernambuco";"153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL";"0,00";"68.652,21";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26415 - Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul";"158132 - INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110112 - ALUGUEIS E ARRENDAMENTOS-MULTAS E JUROS";"0,00";"- 661,24";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26423 - Instituto Federal de Educação, Ciência e Tecnologia de Sergipe";"158134 - INST.FED.DE EDUC.,CIENC.E TEC.DE SERGIPE";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.";"0,00";"2,35";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26248 - Universidade Federal Rural de Pernambuco";"153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";"1 - Receitas Correntes";"16 - Receita de Serviços";"169 - Outros serviços";"16999901 - OUTROS SERVICOS-PRINCIPAL";"0,00";"10,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26430 - Instituto Federal de Educação, Ciência e Tecnologia do Sertão de Pernambuco";"158149 - INST.FED.DE ED.,CIENC.E TEC.DO S.PERNAMBUCANO";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110202 - INSCR.EM CONCURSOS E PROC.SELETIVOS-MUL.JUR.";"0,00";"0,07";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26241 - Universidade Federal do Paraná";"153079 - UNIVERSIDADE FEDERAL DO PARANA";"2 - Receitas de Capital";"24 - Transferências de Capital";"242 - Transferências dos Estados e do Distrito Federal e de suas Entidades";"24220101 - TRANSF.CONV.EST/DF/ENT.PARA UNIAO-PRINC.";"682.444,00";"3.433.800,00";"503,16%";"0,00";
"2025";"26000 - Ministério da Educação";"26269 - Universidade Federal do Estado do Rio de Janeiro";"154034 - UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19219901 - OUTRAS INDENIZACOES-PRINCIPAL";"0,00";"3.027,78";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26258 - Universidade Tecnológica Federal do Paraná";"153019 - UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA";"1 - Receitas Correntes";"17 - Transferências Correntes";"172 - Transferências dos Estados e do Distrito Federal e de suas Entidades";"17240101 - TRANSF.REC.ORG.UNIAO CONV.EST/DF/ENT.-PRINC.";"2.309.465,00";"82.282,00";"3,56%";"0,00";
"2025";"26000 - Ministério da Educação";"26258 - Universidade Tecnológica Federal do Paraná";"153019 - UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210101 - INDENIZ.P/DANOS CAUSADOS AO PATR.PUB.-PRINC.";"0,00";"12.670,68";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"154055 - FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"2.624,97";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26419 - Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul";"158141 - INST.FED.DE EDUC.,CIENC.E TEC.DO RS";"1 - Receitas Correntes";"17 - Transferências Correntes";"172 - Transferências dos Estados e do Distrito Federal e de suas Entidades";"17240101 - TRANSF.REC.ORG.UNIAO CONV.EST/DF/ENT.-PRINC.";"0,00";"632.000,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"158129 - INST FED DE EDUC CIENC E TECNOLOGIA BAIANO";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110212 - CONC,PERM,AUT,CES.DIR.USO IMV.PUB-GER-MUL.JUR";"0,00";"80,06";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26434 - Instituto Federal de Educação, Ciência e Tecnologia Fluminense";"158139 - INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE";"1 - Receitas Correntes";"15 - Receita Industrial";"151 - Receita da indústria extrativa mineral";"15110101 - RECEITA INDUSTRIAL-PRINCIPAL";"136.940,00";"12.133,40";"8,86%";"0,00";
"2025";"26000 - Ministério da Educação";"26441 - Universidade Federal do Oeste do Pará";"158515 - UNIVERSIDADE FEDERAL DO OESTE DO PARA";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110101 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-PRINC.";"25.015,00";"25.489,13";"101,90%";"0,00";
"2025";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"154421 - FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110112 - ALUGUEIS E ARRENDAMENTOS-MULTAS E JUROS";"0,00";"7,33";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26237 - Universidade Federal de Juiz de Fora";"153061 - UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110102 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-MUL.JUR.";"0,00";"186,09";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26410 - Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais";"158121 - INST.FED.DE EDUC.,CIENC.E TEC.DO NORTE DE MG";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.";"0,00";"7.254,90";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26232 - Universidade Federal da Bahia";"153038 - UNIVERSIDADE FEDERAL DA BAHIA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19219901 - OUTRAS INDENIZACOES-PRINCIPAL";"0,00";"0,00";"0,00%";"0,00";
